,home_team_api_id,away_team_api_id,date,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,10192,9931,2008-07-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9930,10179,2008-07-19 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10199,9824,2008-07-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,7955,10243,2008-07-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,6493,7955,2008-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9931,9956,2008-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10243,10199,2008-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10179,10192,2008-07-24 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9824,9930,2008-07-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,10199,7955,2008-07-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9931,6493,2008-07-26 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9930,10243,2008-07-27 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10192,9824,2008-07-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,9956,10179,2008-07-30 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10179,9931,2008-08-02 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,7955,9930,2008-08-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,6493,10199,2008-08-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,10243,10192,2008-08-03 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9824,9956,2008-08-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,6493,9930,2008-08-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,2182,8569,2008-08-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,8673,2183,2008-08-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,8596,8548,2008-08-09 00:00:00,622.0,788.0,55.5,34.25,13.16,0,0,1
0,8481,8639,2008-08-09 00:00:00,768.0,797.0,19.25,26.98,30.350000000000005,0,1,0
0,9860,9927,2008-08-09 00:00:00,746.0,726.0,18.41,29.0,28.599999999999998,1,0,0
0,9873,9853,2008-08-09 00:00:00,767.0,822.0,21.729999999999997,26.329999999999995,26.279999999999998,1,0,0
0,9874,9855,2008-08-09 00:00:00,765.0,716.0,16.63,27.95,38.21000000000001,0,0,1
0,9851,8592,2008-08-09 00:00:00,770.0,773.0,23.95,26.599999999999998,23.580000000000002,0,1,0
0,9829,9847,2008-08-09 00:00:00,747.0,807.0,20.98,27.0,26.7,1,0,0
0,8583,9830,2008-08-09 00:00:00,770.0,692.0,18.6,26.76,32.45,1,0,0
0,8682,8689,2008-08-09 00:00:00,634.0,739.0,17.86,27.4,33.95,0,0,1
0,10265,8031,2008-08-09 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8025,8030,2008-08-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,8244,8242,2008-08-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,10179,6493,2008-08-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9930,10199,2008-08-09 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8028,2186,2008-08-09 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9931,9824,2008-08-09 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8485,8066,2008-08-09 00:00:00,726.0,652.0,15.21,30.4,39.29,0,0,1
0,9827,7819,2008-08-09 00:00:00,819.0,764.0,13.850000000000001,31.2,56.55,1,0,0
0,9746,9831,2008-08-09 00:00:00,714.0,757.0,21.099999999999998,26.13,27.449999999999996,1,0,0
0,8597,10251,2008-08-09 00:00:00,712.0,724.0,22.129999999999995,28.7,22.8,1,0,0
0,8322,1957,2008-08-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,9748,9941,2008-08-10 00:00:00,867.0,774.0,12.030000000000001,37.28,83.35,1,0,0
0,9925,9800,2008-08-10 00:00:00,886.0,680.0,10.43,52.5,122.0,1,0,0
0,9956,10243,2008-08-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,10192,7955,2008-08-10 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8020,1601,2008-08-10 00:00:00,305.0,225.0,0.0,0.0,0.0,0,1,0
0,8429,9938,2008-08-11 00:00:00,628.0,698.0,26.889999999999997,28.9,19.5,1,0,0
0,2186,8244,2008-08-15 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8322,8020,2008-08-15 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9823,9790,2008-08-15 00:00:00,886.0,832.0,14.079999999999998,32.35,49.5,0,1,0
0,8667,9879,2008-08-16 00:00:00,751.0,824.0,22.530000000000005,28.8,23.82,1,0,0
0,8178,9789,2008-08-16 00:00:00,818.0,803.0,17.92,29.25,30.9,0,0,1
0,9830,9829,2008-08-16 00:00:00,747.0,756.0,21.63,26.189999999999998,26.33,0,1,0
0,9831,8481,2008-08-16 00:00:00,762.0,777.0,20.400000000000002,25.939999999999994,28.500000000000004,1,0,0
0,9847,9827,2008-08-16 00:00:00,807.0,806.0,21.659999999999997,26.359999999999996,25.98,1,0,0
