,home_overall_rating,away_overall_rating,home_team_wins,home_team_draws,home_team_defeats,home_team_goals_diff,away_team_wins,away_team_draws,away_team_defeats,away_team_goals_diff,home_team_wins_against_eachother,home_team_goals_diff_agains_eachother,draws_against_eachother,away_team_wins_against_eachother,away_team_goals_diff_agains_eachother,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.89,29.9,37.480000000000004,0,1,0
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,29.25,32.550000000000004,0,1,0
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.16,29.1,22.9,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,34.25,58.8,1,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.45,30.8,15.07,0,0,1
0,0.0,0.0,1,1,2,-3,2,1,0,4,0,0,0,0,0,36.849999999999994,27.2,13.51,0,1,0
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,29.4,30.6,0,1,0
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,29.45,20.849999999999998,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,29.1,25.580000000000002,1,0,0
0,0.0,0.0,4,0,1,4,2,2,1,0,0,0,0,0,0,11.559999999999999,42.0,82.0,1,0,0
0,0.0,0.0,3,1,1,0,1,2,2,-2,0,0,0,0,0,11.44,42.78,83.5,0,0,1
0,0.0,0.0,3,0,2,5,2,2,1,3,0,0,0,0,0,23.170000000000005,28.900000000000002,21.88,0,0,1
0,0.0,0.0,2,3,0,3,1,2,2,0,0,0,0,0,0,16.64,29.550000000000004,34.55,0,1,0
0,0.0,0.0,2,0,3,-3,3,1,1,4,0,0,0,0,0,24.55,29.05,20.89,0,1,0
0,0.0,0.0,1,1,3,-6,0,0,5,-9,0,0,0,0,0,15.37,30.249999999999996,39.08,0,0,1
0,0.0,0.0,1,2,2,0,2,1,2,1,0,0,0,0,0,20.400000000000002,29.0,25.48,0,0,1
0,0.0,0.0,1,0,4,-5,3,1,1,3,0,0,0,0,0,48.45,32.050000000000004,14.040000000000001,0,0,1
0,0.0,0.0,0,3,2,-2,3,0,2,4,0,0,0,0,0,35.75,29.9,16.12,0,0,1
0,0.0,0.0,3,0,2,4,1,4,0,2,0,0,0,0,0,11.780000000000001,40.4,74.5,0,0,1
0,0.0,0.0,1,3,1,1,1,1,3,-1,0,0,0,0,0,21.000000000000004,29.05,24.45,0,1,0
0,0.0,0.0,2,2,1,1,4,0,1,5,0,0,0,0,0,28.050000000000004,28.95,19.1,0,1,0
0,0.0,0.0,2,1,2,1,2,0,3,2,0,0,0,0,0,15.98,30.450000000000003,36.88,1,0,0
0,0.0,0.0,3,2,0,6,1,1,3,-5,0,0,0,0,0,12.42,36.96000000000001,64.7,0,1,0
0,0.0,0.0,1,0,4,-7,1,0,4,-6,0,0,0,0,0,16.389999999999997,30.1,34.85,0,0,1
0,0.0,0.0,1,2,2,-4,1,0,4,-7,0,0,0,0,0,17.91,29.4,30.05,0,1,0
0,0.0,0.0,3,1,1,4,4,1,0,6,0,0,0,0,0,22.65,29.0,22.6,1,0,0
0,0.0,0.0,0,3,2,-3,2,1,2,-2,0,0,0,0,0,32.35,29.5,17.16,0,0,1
0,0.0,0.0,3,1,1,4,3,0,2,4,0,0,0,0,0,19.55,28.549999999999997,27.05,0,1,0
0,0.0,0.0,3,1,1,4,1,0,4,-6,0,0,0,0,0,11.319999999999999,44.25,83.5,0,1,0
0,0.0,0.0,2,0,3,1,0,2,3,-5,0,0,0,0,0,18.2,29.05,29.900000000000002,0,1,0
0,0.0,0.0,2,3,0,3,2,1,2,-1,0,0,0,0,0,28.650000000000002,28.799999999999997,18.800000000000004,0,1,0
0,0.0,0.0,1,2,2,-2,0,3,2,-5,0,0,0,0,0,19.85,28.75,26.4,1,0,0
0,0.0,0.0,0,1,4,-10,0,4,1,-1,0,0,0,0,0,18.45,28.95,29.399999999999995,0,1,0
0,0.0,0.0,1,2,2,0,2,3,0,2,0,0,0,0,0,19.700000000000003,29.0,26.45,1,0,0
0,0.0,0.0,2,0,3,-4,3,0,2,3,0,0,0,0,0,36.44,30.200000000000003,16.080000000000002,1,0,0
